world,level,zone_name,zone_description,zone_entity_names
hospital_2,0,patient_ward,Patient Ward,ward bed;ward bedside table;ward iv stand;ward vital signal;ward privacy curtain;ward armchair;ward biohazard container;ward bed;ward bedside table;ward iv stand;ward vital signal;ward privacy curtain;ward armchair;ward biohazard container;ward SM Medical Cabinet a;ward SM Medical Cabinet a;ward supply cart;ward supply cart;ward gurney;ward wheelchair;ward wheelchair;ward trashcan
hospital_2,0,pharmacy,Pharmacy,pharmacy desk;pharmacy chair;pharmacy shelf;pharmacy shelf;pharmacy shelf;pharmacy shelf;pharmacy refrigerated unit;pharmacy SM Medical Cabinet a;pharmacy SM Medical Cabinet a;pharmacy med shelf;pharmacy med shelf;pharmacy supply cart;pharmacy supply cart;pharmacy biohazard container;pharmacy trashcan
hospital_2,0,nurse_resting_room,Nurse Resting Room,nurse resting bed;nurse resting bed;nurse resting desk;nurse resting desk chair;nurse resting computer;nurse resting desk;nurse resting desk chair;nurse resting computer;nurse resting chair;nurse resting chair;nurse resting chair;nurse resting sidetable;nurse resting sidetable;nurse resting sidetable;nurse resting cabinet;nurse resting cabinet;nurse resting cabinet;nurse resting cabinet
hospital_2,0,waiting_area,Main Waiting Area,waiting sofa;waiting sofa;waiting chair;waiting chair;waiting chair;waiting chair;waiting bench;waiting bench;waiting side table;waiting side table;waiting side table;waiting side table;waiting trashcan;waiting mop set;waiting mop set
hospital_2,0,sub_hallway,Sub-Hallway,
hospital_2,0,operating_room,Operating Room,or operating table;or surgical table;or anesthesia machine;or instrument table;or surgical tray;or vital monitor;or defibrillator;or ventilator;or SM Medical Cabinet a;or supply cabinet;or biohazard container;or trashcan
hospital_2,0,laboratory,Laboratory,lab bench;lab bench;lab microscope;lab microscope;lab stool;lab stool;lab stool;lab SM Medical Cabinet a;lab refrigerated unit;lab shelf;lab shelf;lab shelf set;lab shelf set;lab biohazard container;lab biohazard container;lab autoclave;lab trashcan;lab trashcan
hospital_2,0,wc_pharmacy,WC Pharmacy,wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy toilet;wc pharmacy toilet paper;wc pharmacy toilet;wc pharmacy toilet paper;wc pharmacy toilet;wc pharmacy toilet paper
hospital_2,0,wc_waiting,WC Waiting,wc waiting washbasin;wc waiting washbasin;wc waiting washbasin;wc waiting toilet;wc waiting toilet paper;wc waiting toilet;wc waiting toilet paper;wc waiting toilet;wc waiting toilet paper
hospital_2,0,doctors_resting_room,Doctor Resting Room,doctors resting room bed;doctors resting room desk;doctors resting room desk chair;doctors resting room sidetable;doctors resting room cabinet;doctors resting room computer;doctors resting room chair
hospital_2,1,central_hallway_left,Main Central Hallway,
hospital_2,1,reception_left,Reception and Check-in,reception counter left;reception waiting sofa left;reception waiting sofa left;reception waiting sofa left;reception waiting chair left;reception display board left;reception water dispenser left;reception trashcan left
hospital_2,1,exam_room_1_left,Examination Room 1,exam exam table left;exam medical stool left;exam instrument table left;exam vital signal station left;exam exam table left;exam medical stool left;exam instrument table left;exam vital signal station left;exam SM Medical Cabinet a left;exam SM Medical Cabinet a left;exam SM Medical Cabinet a left;exam supply cart left;exam supply cart left;exam scale left;exam trashcan left
hospital_2,1,patient_ward_left,Patient Ward,ward bed left;ward bedside table left;ward iv stand left;ward vital signal left;ward privacy curtain left;ward armchair left;ward biohazard container left;ward bed left;ward bedside table left;ward iv stand left;ward vital signal left;ward privacy curtain left;ward armchair left;ward biohazard container left;ward SM Medical Cabinet a left;ward SM Medical Cabinet a left;ward supply cart left;ward supply cart left;ward gurney left;ward wheelchair left;ward wheelchair left;ward trashcan left
hospital_2,1,pharmacy_left,Pharmacy,pharmacy desk left;pharmacy chair left;pharmacy shelf left;pharmacy shelf left;pharmacy shelf left;pharmacy shelf left;pharmacy refrigerated unit left;pharmacy SM Medical Cabinet a left;pharmacy SM Medical Cabinet a left;pharmacy med shelf left;pharmacy med shelf left;pharmacy supply cart left;pharmacy supply cart left;pharmacy biohazard container left;pharmacy trashcan left
hospital_2,1,nurse_resting_room_left,Nurse Resting Room,nurse resting bed left;nurse resting bed left;nurse resting desk left;nurse resting desk chair left;nurse resting computer left;nurse resting desk left;nurse resting desk chair left;nurse resting computer left;nurse resting chair left;nurse resting chair left;nurse resting chair left;nurse resting sidetable left;nurse resting sidetable left;nurse resting sidetable left;nurse resting cabinet left;nurse resting cabinet left;nurse resting cabinet left;nurse resting cabinet left
hospital_2,1,waiting_area_left,Main Waiting Area,waiting sofa left;waiting sofa left;waiting chair left;waiting chair left;waiting chair left;waiting chair left;waiting bench left;waiting bench left;waiting side table left;waiting side table left;waiting side table left;waiting side table left;waiting trashcan left;waiting mop set left;waiting mop set left
hospital_2,1,sub_hallway_left,Sub-Hallway,
hospital_2,1,operating_room_left,Operating Room,or operating table left;or surgical table left;or anesthesia machine left;or instrument table left;or surgical tray left;or vital monitor left;or defibrillator left;or ventilator left;or SM Medical Cabinet a left;or supply cabinet left;or biohazard container left;or trashcan left
hospital_2,1,laboratory_left,Laboratory,lab bench left;lab bench left;lab microscope left;lab microscope left;lab stool left;lab stool left;lab stool left;lab SM Medical Cabinet a left;lab refrigerated unit left;lab shelf left;lab shelf left;lab shelf set left;lab shelf set left;lab biohazard container left;lab biohazard container left;lab autoclave left;lab trashcan left;lab trashcan left
hospital_2,1,wc_pharmacy_left,WC Pharmacy,wc pharmacy washbasin left;wc pharmacy washbasin left;wc pharmacy washbasin left;wc pharmacy washbasin left;wc pharmacy washbasin left;wc pharmacy washbasin left;wc pharmacy toilet left;wc pharmacy toilet paper left;wc pharmacy toilet left;wc pharmacy toilet paper left;wc pharmacy toilet left;wc pharmacy toilet paper left
hospital_2,1,wc_waiting_left,WC Waiting,wc waiting washbasin left;wc waiting washbasin left;wc waiting washbasin left;wc waiting toilet left;wc waiting toilet paper left;wc waiting toilet left;wc waiting toilet paper left;wc waiting toilet left;wc waiting toilet paper left
hospital_2,1,doctors_resting_room_left,Doctor Resting Room,doctors resting room bed left;doctors resting room desk left;doctors resting room desk chair left;doctors resting room sidetable left;doctors resting room cabinet left;doctors resting room computer left;doctors resting room chair left
map_empty,0,empty_zone,Empty Zone,table
office_1,0,main_hallway,Main Hallway,hallway fire ext;hallway fire ext;hallway fire ext;hallway fire ext;hallway plant;hallway plant;hallway plant;hallway plant;hallway plant
office_1,0,cafeteria,Cafeteria,cafeteria table;cafeteria chair a;cafeteria chair b;cafeteria chair a;cafeteria chair b;cafeteria table;cafeteria chair a;cafeteria chair b;cafeteria chair a;cafeteria chair b;cafeteria table;cafeteria chair a;cafeteria chair b;cafeteria chair a;cafeteria chair b;cafeteria table;cafeteria chair b;cafeteria chair a;cafeteria chair b;cafeteria drinks machine;cafeteria water cooler;cafeteria plant;cafeteria plant;cafeteria trash
office_1,0,sub_hallway,Sub Hallway,sub hallway plant
office_1,0,meeting_room_1,Meeting Room 1,meet table;meet table;meet table;meet table;meet table;meet table;meet chair board;meet chair a;meet chair b;meet chair c;meet chair a;meet chair b;meet chair c;meet tv;meet board;meet plant;meet ringbinder;meet papertray;meet phone;meet standforpapers;meet smartphone;meet pencilcup;meet donut;meet coffeetogo;meet trash
office_1,0,wc_2,WC 2,wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc washbasin;wc mirror;wc washbasin;wc mirror;wc hand dryer;wc trash
office_1,0,reception,Reception,reception desk straight a;reception desk straight b;reception desk corner a;reception desk corner b;reception desk stand;reception desk stand;reception personenleit a;reception personenleit b;reception personenleit c;reception personenleit d;reception chair;reception chair;reception chair;reception chair;reception monitor a;reception monitor a;reception keyboard;reception mouse;reception monitor b;reception monitor b;reception keyboard;reception mouse;reception sofa;reception table coffee;reception sofa;reception table coffee;reception sofa row a;reception sofa row b;reception sofa row c;reception sofa row d;reception sofa row personeleit a;reception sofa row personeleit b;reception sofa row personeleit c;reception sofa row personeleit d;reception sofa row personeleit e;reception sofa row personeleit f;reception sofa row personeleit g;reception sofa row a;reception sofa row b;reception sofa row c;reception sofa row d;reception sofa row personeleit a;reception sofa row personeleit b;reception sofa row personeleit c;reception sofa row personeleit d;reception sofa row personeleit e;reception sofa row personeleit f;reception sofa row personeleit g;reception armchair;reception armchair;reception armchair;reception table coffee;reception table coffee;reception plant new;reception plant new;reception plant;reception plant;reception plant
office_1,0,executive_office_1,Executive Office 1,exec desk;exec chair;exec monitor;exec keyboard;exec laptop;exec bookcase;exec cupboard;exec file cabinet;exec armchair a;exec armchair a;exec table coffee;exec armchair b;exec armchair b;exec plant;exec trash
office_1,0,executive_office_2,Executive Office 2,exec desk;exec chair;exec monitor;exec keyboard;exec laptop;exec bookcase;exec cupboard;exec file cabinet flipped;exec armchair a;exec armchair a;exec table coffee;exec trash
office_1,0,wc_1,WC 1,wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc toilet;wc toilet paper;wc washbasin;wc mirror;wc washbasin;wc mirror;wc washbasin;wc mirror;wc washbasin;wc mirror;wc washbasin;wc mirror;wc hand dryer;wc hand dryer;wc trash;wc trash
office_1,0,main_office,Main Office,office desk;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office desk;office chair a;office chair b;office monitor a;office keyboard a;office monitor b;office keyboard b;office printer;office printer;office printer;office printer;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office file cabinet;office water cooler;office plant;office plant;office trash;office trash
office_1,0,meeting_room_big,Meeting Room (big),meet big corner;meet big corner;meet big corner;meet big corner;meet big module;meet big module;meet big module;meet big module;meet big module;meet big module;meet big module;meet big module;meet big chair board;meet big chair a;meet big chair c;meet big chair a;meet big chair b;meet big chair c;meet big chair d;meet big chair a;meet big chair b;meet big chair c;meet big chair d;meet big chair a;meet big chair b;meet big chair c;meet big chair d;meet big tv;meet big board;meet big plant;meet big ringbinder;meet big ringbinder;meet big papertray;meet big phone;meet big standforpapers;meet big standforpapers;meet big smartphone;meet big smartphone;meet big pencilcup;meet big donut;meet big donut;meet big coffeetogo;meet big coffeetogo
office_1,0,storage,Storage,storage rack;storage rack;storage rack;storage rack;storage rack;storage rack;storage rack;storage rack;storage rack;storage rack;storage rack;storage rack;storage box top;storage box top;storage box rd;storage box nd;storage box nd;storage box nd;storage box st;storage box st;storage box nd;storage box nd;storage box top;storage box top;storage box rd;storage box rd;storage box rd;storage box nd;storage box st;storage box st;storage box st;storage box st;storage box top;storage box top;storage box rd;storage box rd;storage box nd;storage box nd;storage box nd;storage box st;storage box top;storage box top;storage box rd;storage box rd;storage box nd;storage box nd;storage box st;storage box st;storage box top;storage box top;storage box rd;storage box rd;storage box nd;storage box nd;storage box st;storage box st;storage box st;storage box top;storage box top;storage box rd;storage box rd;storage box nd;storage box nd;storage box nd;storage box st;storage box top;storage box rd;storage box rd;storage box nd;storage box st;storage box st;storage box st;storage box top;storage box top;storage box rd;storage box nd;storage box nd;storage box nd;storage box st;storage box top;storage box top;storage box rd;storage box rd;storage box nd;storage box nd;storage box st;storage box st;storage box st;storage box top;storage box top;storage box rd;storage box rd;storage box nd;storage box nd;storage box st;storage box st;storage box top;storage box top;storage box rd;storage box nd;storage box nd;storage box st;storage box st;storage box st;storage box top;storage box top;storage box rd;storage box rd;storage box nd;storage box nd;storage box nd;storage box st;storage box st;storage box st;storage floor box;storage floor box;storage floor box;storage floor box;storage floor box;storage floor box;storage floor box;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage floor stack;storage cabinet stack;storage cabinet stack;storage cabinet stack;storage cabinet stack;storage cabinet stack;storage cabinet stack;storage cabinet stack;storage corner stack;storage corner stack;storage corner stack;storage corner stack;storage side stack;storage side stack;storage side stack;storage side stack;storage side stack;storage side stack;storage side stack;storage side stack;storage side stack;storage side stack;storage file cabinet;storage file cabinet;storage file cabinet;storage file cabinet;storage file cabinet
reception,0,destination,Destination zone behind the reception desk,vending machine
reception,0,entrance,Reception Entrance,nurse station;chair;chair;chair;chair;chair
three_storied_residential,1,1_bedroom,,Bed A;Night Table A;Night Table A;Dresser A
three_storied_residential,1,1_bathroom,,Toilet;Washbasin;Cabinet Base Sink
three_storied_residential,2,2_living_room,,Sofa B;Table Television;Coffee Table B;Lounge Chair;Lounge Chair
three_storied_residential,2,2_dining_room,,Steel Table;Steel Chair;Steel Chair;Steel Chair;Steel Chair
three_storied_residential,3,3_bedroom,,Bed A;Dresser B
three_storied_residential,3,3_study,,Dresser B;Steel Chair;Dresser A;Dresser A;Dresser A
